시간,시가,고가,저가,종가,5_종가,10_종가,20_종가,60_종가,120_종가,거래량,5_거래량,10_거래량,20_거래량,60_거래량,120_거래량
"01/29,13:08","74,500","74,600","74,500","74,600","74,560.00","74,540.00","74,490.00","74,481.67","74,488.33","2,388","6,613.60","6,038.20","11,007.10","13,560.25","16,614.33"
"01/29,13:07","74,500","74,600","74,500","74,500","74,540.00","74,540.00","74,485.00","74,481.67","74,487.50","17,480","6,827.40","7,042.30","11,110.10","13,571.87","16,685.02"
"01/29,13:06","74,600","74,600","74,500","74,600","74,540.00","74,540.00","74,480.00","74,481.67","74,487.50","8,917","3,985.80","6,233.40","10,628.35","15,435.92","16,820.24"
"01/29,13:05","74,500","74,600","74,500","74,600","74,520.00","74,530.00","74,475.00","74,480.00","74,485.83","2,075","4,644.40","15,926.40","10,318.15","15,357.80","17,574.66"
"01/29,13:04","74,600","74,600","74,500","74,500","74,520.00","74,510.00","74,465.00","74,480.00","74,484.17","2,208","5,279.80","16,529.30","10,386.90","15,452.12","18,498.63"
"01/29,13:03","74,500","74,600","74,500","74,500","74,520.00","74,500.00","74,465.00","74,480.00","74,485.00","3,457","5,462.80","16,895.70","10,372.35","15,470.45","18,516.98"
"01/29,13:02","74,600","74,600","74,500","74,500","74,540.00","74,490.00","74,465.00","74,480.00","74,485.83","3,272","7,257.20","16,969.90","10,361.35","15,833.22","18,535.85"
"01/29,13:01","74,600","74,600","74,500","74,500","74,540.00","74,480.00","74,460.00","74,480.00","74,486.67","12,210","8,481.00","16,808.10","10,503.70","17,164.27","18,563.06"
"01/29,13:00","74,600","74,600","74,500","74,600","74,540.00","74,470.00","74,455.00","74,480.00","74,486.67","5,252","27,208.40","15,812.70","13,281.85","17,022.35","18,527.60"
"01/29,12:59","74,500","74,600","74,500","74,500","74,500.00","74,450.00","74,440.00","74,478.33","74,485.83","3,123","27,778.80","15,819.40","13,329.40","17,060.77","18,529.44"
"01/29,12:58","74,600","74,600","74,500","74,600","74,480.00","74,440.00","74,435.00","74,478.33","74,485.83","12,429","28,328.60","15,976.00","15,914.35","18,618.48","18,527.98"
"01/29,12:57","74,500","74,600","74,500","74,500","74,440.00","74,430.00","74,425.00","74,476.67","74,485.00","9,391","26,682.60","15,177.90","15,853.00","18,477.70","19,027.21"
"01/29,12:56","74,400","74,500","74,400","74,500","74,420.00","74,420.00","74,425.00","74,475.00","74,486.67","105,847","25,135.20","15,023.30","16,014.50","18,398.37","18,985.96"
"01/29,12:55","74,400","74,500","74,400","74,400","74,400.00","74,420.00","74,425.00","74,475.00","74,488.33","8,104","4,417.00","4,709.90","12,487.05","16,704.13","18,212.38"
"01/29,12:54","74,400","74,500","74,400","74,400","74,400.00","74,420.00","74,425.00","74,476.67","74,490.00","5,872","3,860.00","4,244.50","12,416.75","16,631.37","18,467.67"
"01/29,12:53","74,400","74,500","74,400","74,400","74,400.00","74,430.00","74,430.00","74,476.67","74,491.67","4,199","3,623.40","3,849.00","12,370.25","16,579.05","18,648.63"
"01/29,12:52","74,500","74,500","74,400","74,400","74,420.00","74,440.00","74,430.00","74,476.67","74,493.33","1,654","3,673.20","3,752.80","14,341.80","16,619.35","18,688.16"
"01/29,12:51","74,500","74,500","74,400","74,400","74,420.00","74,440.00","74,430.00","74,478.33","74,494.17","2,256","4,911.40","4,199.30","14,397.15","17,149.00","19,536.72"
"01/29,12:50","74,500","74,500","74,400","74,400","74,440.00","74,440.00","74,435.00","74,480.00","74,495.00","5,319","5,002.80","10,751.00","14,482.05","17,238.75","19,606.89"
"01/29,12:49","74,400","74,500","74,400","74,400","74,440.00","74,430.00","74,435.00","74,481.67","74,495.83","4,689","4,629.00","10,839.40","14,472.25","17,272.95","19,667.51"
"01/29,12:48","74,400","74,500","74,400","74,500","74,460.00","74,430.00","74,440.00","74,481.67","74,496.67","4,448","4,074.60","15,852.70","14,447.05","17,271.28","19,699.88"
"01/29,12:47","74,400","74,500","74,400","74,400","74,460.00","74,420.00","74,435.00","74,480.00","74,496.67","7,845","3,832.40","16,528.10","14,468.70","17,259.93","20,608.44"
"01/29,12:46","74,500","74,500","74,400","74,500","74,460.00","74,430.00","74,440.00","74,480.00","74,498.33","2,713","3,487.20","17,005.70","14,250.05","17,204.75","20,649.83"
"01/29,12:45","74,400","74,500","74,400","74,400","74,440.00","74,430.00","74,440.00","74,478.33","74,499.17","3,450","16,499.20","20,264.20","14,322.70","17,247.15","20,690.73"
"01/29,12:44","74,500","74,500","74,400","74,500","74,420.00","74,430.00","74,440.00","74,478.33","74,500.83","1,917","17,049.80","20,589.00","14,358.45","17,255.12","20,750.44"
"01/29,12:43","74,400","74,500","74,400","74,500","74,400.00","74,430.00","74,435.00","74,476.67","74,502.50","3,237","27,630.80","20,891.50","14,545.75","17,283.97","20,807.27"
"01/29,12:42","74,400","74,500","74,400","74,400","74,380.00","74,420.00","74,430.00","74,476.67","74,503.33","6,119","29,223.80","24,930.80","14,516.05","17,305.68","20,843.37"
"01/29,12:41","74,300","74,500","74,300","74,400","74,400.00","74,420.00","74,430.00","74,478.33","74,505.00","67,773","30,524.20","24,595.00","14,421.20","17,272.60","20,922.89"
"01/29,12:40","74,400","74,400","74,300","74,300","74,420.00","74,430.00","74,435.00","74,480.00","74,506.67","6,203","24,029.20","18,213.10","14,915.80","16,380.50","20,773.12"
"01/29,12:39","74,400","74,500","74,300","74,400","74,440.00","74,440.00","74,445.00","74,483.33","74,509.17","54,822","24,128.20","18,105.10","14,844.95","17,927.43","21,001.07"
"01/29,12:38","74,400","74,500","74,400","74,400","74,460.00","74,450.00","74,450.00","74,485.00","74,510.00","11,202","14,152.20","13,041.40","12,319.25","17,556.27","20,576.45"
"01/29,12:37","74,400","74,500","74,400","74,500","74,460.00","74,450.00","74,455.00","74,486.67","74,510.83","12,621","20,637.80","12,409.30","11,957.15","17,463.27","20,530.88"
"01/29,12:36","74,400","74,500","74,400","74,500","74,440.00","74,450.00","74,460.00","74,488.33","74,511.67","35,298","18,665.80","11,494.40","11,447.30","17,332.95","20,443.22"
"01/29,12:35","74,400","74,500","74,400","74,400","74,440.00","74,450.00","74,460.00","74,490.00","74,512.50","6,698","12,397.00","8,381.20","9,857.60","16,797.98","20,773.02"
"01/29,12:34","74,500","74,500","74,400","74,500","74,440.00","74,450.00","74,470.00","74,491.67","74,514.17","4,942","12,082.00","8,127.90","9,635.00","16,779.85","20,741.39"
"01/29,12:33","74,400","74,500","74,400","74,400","74,440.00","74,440.00","74,475.00","74,491.67","74,515.00","43,630","11,930.60","8,200.00","10,691.00","16,944.10","21,207.34"
"01/29,12:32","74,400","74,500","74,400","74,400","74,440.00","74,440.00","74,490.00","74,495.00","74,516.67","2,761","4,180.80","4,101.30","8,886.00","16,273.05","21,946.03"
"01/29,12:31","74,400","74,500","74,400","74,500","74,460.00","74,440.00","74,500.00","74,496.67","74,517.50","3,954","4,323.00","4,247.40","9,066.10","16,291.52","22,756.60"
"01/29,12:30","74,500","74,500","74,400","74,400","74,460.00","74,440.00","74,505.00","74,496.67","74,518.33","5,123","4,365.40","11,618.50","15,374.55","16,416.15","22,785.64"
"01/29,12:29","74,500","74,500","74,400","74,500","74,460.00","74,450.00","74,515.00","74,498.33","74,520.00","4,185","4,173.80","11,584.80","15,306.20","16,408.53","23,277.73"
"01/29,12:28","74,500","74,500","74,400","74,400","74,440.00","74,450.00","74,515.00","74,500.00","74,521.67","4,881","4,469.40","11,597.10","15,226.60","16,387.78","24,062.42"
"01/29,12:27","74,500","74,500","74,400","74,500","74,440.00","74,460.00","74,525.00","74,501.67","74,523.33","3,472","4,021.80","11,505.00","15,136.80","16,394.90","24,133.65"
"01/29,12:26","74,500","74,500","74,400","74,500","74,420.00","74,470.00","74,525.00","74,503.33","74,525.00","4,166","4,171.80","11,400.20","21,429.35","17,123.23","24,912.66"
"01/29,12:25","74,400","74,500","74,400","74,400","74,420.00","74,470.00","74,525.00","74,503.33","74,525.00","4,165","18,871.60","11,334.00","21,432.55","18,395.92","25,201.23"
"01/29,12:24","74,500","74,500","74,400","74,400","74,440.00","74,490.00","74,535.00","74,505.00","74,525.83","5,663","18,995.80","11,142.10","21,611.00","18,542.37","25,587.85"
"01/29,12:23","74,500","74,500","74,400","74,400","74,460.00","74,510.00","74,540.00","74,505.00","74,526.67","2,643","18,724.80","13,182.00","21,493.25","18,503.18","25,944.37"
"01/29,12:22","74,400","74,500","74,400","74,400","74,480.00","74,540.00","74,545.00","74,506.67","74,527.50","4,222","18,988.20","13,670.70","22,622.25","18,807.37","26,484.60"
"01/29,12:21","74,600","74,600","74,400","74,500","74,520.00","74,560.00","74,550.00","74,508.33","74,528.33","77,665","18,628.60","13,884.80","26,567.90","19,245.27","26,623.03"
"01/29,12:20","74,500","74,600","74,500","74,500","74,520.00","74,570.00","74,550.00","74,508.33","74,528.33","4,786","3,796.40","19,130.60","22,869.40","18,001.40","26,015.36"
"01/29,12:19","74,600","74,600","74,500","74,500","74,540.00","74,580.00","74,550.00","74,506.67","74,527.50","4,308","3,288.40","19,027.60","23,007.95","18,301.47","27,157.97"
"01/29,12:18","74,600","74,600","74,500","74,500","74,560.00","74,580.00","74,550.00","74,506.67","74,526.67","3,960","7,639.20","18,856.10","27,621.85","18,732.37","27,177.78"
"01/29,12:17","74,600","74,600","74,500","74,600","74,600.00","74,590.00","74,550.00","74,506.67","74,525.83","2,424","8,353.20","18,768.60","27,622.95","19,114.28","27,460.30"
"01/29,12:16","74,600","74,600","74,500","74,500","74,600.00","74,580.00","74,540.00","74,505.00","74,525.00","3,504","9,141.00","31,458.50","27,733.30","19,360.82","27,925.86"
"01/29,12:15","74,600","74,600","74,500","74,600","74,620.00","74,580.00","74,540.00","74,505.00","74,524.17","2,246","34,464.80","31,531.10","27,767.75","19,896.40","28,360.45"
"01/29,12:14","74,600","74,700","74,500","74,600","74,620.00","74,580.00","74,535.00","74,503.33","74,521.67","26,062","34,766.80","32,079.90","27,842.35","20,099.05","28,501.48"
"01/29,12:13","74,600","74,700","74,600","74,700","74,600.00","74,570.00","74,525.00","74,503.33","74,520.00","7,530","30,073.00","29,804.50","26,675.90","19,935.07","28,674.57"
"01/29,12:12","74,600","74,700","74,600","74,600","74,580.00","74,550.00","74,510.00","74,500.00","74,517.50","6,363","29,184.00","31,573.80","26,630.25","20,770.30","29,351.93"
"01/29,12:11","74,500","74,700","74,500","74,600","74,560.00","74,540.00","74,505.00","74,498.33","74,516.67","130,123","53,776.00","39,251.00","27,983.75","20,722.93","30,026.03"
"01/29,12:10","74,500","74,600","74,500","74,600","74,540.00","74,530.00","74,500.00","74,496.67","74,515.00","3,756","28,597.40","26,608.20","21,859.65","18,591.38","29,012.68"
"01/29,12:09","74,600","74,600","74,500","74,500","74,540.00","74,520.00","74,495.00","74,495.00","74,512.50","2,593","29,393.00","26,988.30","22,040.40","18,971.95","29,552.17"
"01/29,12:08","74,500","74,600","74,500","74,600","74,540.00","74,520.00","74,490.00","74,495.00","74,510.83","3,085","29,536.00","36,387.60","22,140.20","19,668.42","30,727.43"
"01/29,12:07","74,600","74,600","74,500","74,500","74,520.00","74,510.00","74,480.00","74,493.33","74,506.67","129,323","33,963.60","36,477.30","22,174.30","19,798.17","30,833.82"
"01/29,12:06","74,500","74,600","74,500","74,500","74,520.00","74,500.00","74,475.00","74,493.33","74,503.33","4,230","24,726.00","24,008.10","15,934.85","18,204.57","30,244.69"
"01/29,12:05","74,600","74,600","74,500","74,600","74,520.00","74,500.00","74,470.00","74,491.67","74,500.00","7,734","24,619.00","24,004.40","15,986.20","19,791.52","30,275.39"
"01/29,12:04","74,500","74,600","74,500","74,500","74,500.00","74,490.00","74,460.00","74,488.33","74,495.83","3,308","24,583.60","23,604.80","15,795.90","21,545.15","30,248.02"
"01/29,12:03","74,400","74,600","74,400","74,500","74,500.00","74,480.00","74,455.00","74,490.00","74,493.33","25,223","43,239.20","23,547.30","15,812.90","21,563.52","30,278.77"
"01/29,12:02","74,500","74,600","74,400","74,500","74,500.00","74,470.00","74,455.00","74,491.67","74,490.83","83,135","38,991.00","21,686.70","14,778.75","21,238.48","30,214.53"
"01/29,12:01","74,500","74,500","74,400","74,500","74,480.00","74,470.00","74,455.00","74,493.33","74,488.33","3,695","23,290.20","16,716.50","10,828.70","19,961.85","29,842.41"
"01/29,12:00","74,500","74,500","74,400","74,500","74,480.00","74,470.00","74,455.00","74,493.33","74,485.00","7,557","23,389.80","17,111.10","11,356.30","20,032.85","30,115.92"
"01/29,11:59","74,500","74,500","74,400","74,500","74,480.00","74,470.00","74,455.00","74,493.33","74,482.50","96,586","22,626.00","17,092.50","15,929.40","19,998.12","30,521.34"
"01/29,11:58","74,400","74,500","74,400","74,500","74,460.00","74,460.00","74,455.00","74,493.33","74,479.17","3,982","3,855.40","7,892.80","12,727.70","18,437.48","29,785.81"
"01/29,11:57","74,400","74,500","74,400","74,400","74,440.00","74,450.00","74,455.00","74,493.33","74,476.67","4,631","4,382.40","7,871.30","12,809.70","19,576.72","29,801.10"
"01/29,11:56","74,400","74,500","74,400","74,500","74,460.00","74,450.00","74,465.00","74,498.33","74,475.00","4,193","10,142.80","7,861.60","12,818.25","19,573.55","29,792.18"
"01/29,11:55","74,400","74,500","74,400","74,500","74,460.00","74,440.00","74,470.00","74,501.67","74,471.67","3,738","10,832.40","7,968.00","12,768.60","19,720.62","29,791.20"
"01/29,11:54","74,400","74,500","74,400","74,400","74,460.00","74,430.00","74,470.00","74,503.33","74,469.17","2,733","11,559.00","7,987.00","12,862.20","20,303.97","29,808.73"
"01/29,11:53","74,400","74,500","74,400","74,400","74,460.00","74,430.00","74,475.00","74,506.67","74,466.67","6,617","11,930.20","8,078.50","13,465.40","20,718.20","29,873.27"
"01/29,11:52","74,400","74,500","74,400","74,500","74,460.00","74,440.00","74,485.00","74,510.00","74,465.00","33,433","11,360.20","7,870.80","13,302.90","20,756.97","29,861.48"
"01/29,11:51","74,400","74,500","74,400","74,500","74,440.00","74,440.00","74,485.00","74,510.00","74,462.50","7,641","5,580.40","4,940.90","11,824.70","21,924.43","29,756.14"
"01/29,11:50","74,400","74,500","74,400","74,500","74,420.00","74,440.00","74,485.00","74,510.00","74,459.17","7,371","5,103.60","5,601.50","12,014.25","21,975.03","29,734.32"
"01/29,11:49","74,500","74,500","74,400","74,400","74,400.00","74,440.00","74,485.00","74,510.00","74,456.67","4,589","4,415.00","14,766.30","11,879.00","22,062.07","30,260.38"
"01/29,11:48","74,500","74,500","74,400","74,400","74,400.00","74,450.00","74,495.00","74,511.67","74,454.17","3,767","4,226.80","17,562.60","11,796.55","22,128.47","31,096.38"
"01/29,11:47","74,500","74,500","74,400","74,400","74,420.00","74,460.00","74,500.00","74,513.33","74,451.67","4,534","4,381.40","17,748.10","11,873.60","23,956.95","31,112.46"
"01/29,11:46","74,500","74,500","74,400","74,400","74,440.00","74,480.00","74,510.00","74,516.67","74,448.33","5,257","4,301.40","17,774.90","14,005.50","24,094.92","31,112.18"
"01/29,11:45","74,400","74,500","74,400","74,400","74,460.00","74,500.00","74,515.00","74,520.00","74,445.00","3,928","6,099.40","17,569.20","17,769.00","24,134.32","31,736.08"
"01/29,11:44","74,400","74,500","74,400","74,400","74,480.00","74,510.00","74,520.00","74,523.33","74,442.50","3,648","25,117.60","17,737.40","18,220.20","24,245.77","31,752.81"
"01/29,11:43","74,500","74,500","74,400","74,500","74,500.00","74,520.00","74,520.00","74,528.33","74,439.17","4,540","30,898.40","18,852.30","18,203.40","24,330.57","32,221.91"
"01/29,11:42","74,400","74,500","74,400","74,500","74,500.00","74,530.00","74,520.00","74,530.00","74,434.17","4,134","31,114.80","18,735.00","19,021.10","24,381.05","32,219.39"
"01/29,11:41","74,500","74,500","74,400","74,500","74,520.00","74,530.00","74,520.00","74,531.67","74,430.00","14,247","31,248.40","18,708.50","20,339.20","24,573.18","32,953.16"
"01/29,11:40","74,600","74,600","74,400","74,500","74,540.00","74,530.00","74,520.00","74,533.33","74,426.67","99,019","29,039.00","18,427.00","19,778.50","25,165.73","32,874.69"
"01/29,11:39","74,600","74,600","74,500","74,500","74,540.00","74,530.00","74,515.00","74,535.00","74,423.33","32,552","10,357.20","8,991.70","15,967.05","24,074.70","32,763.74"
"01/29,11:38","74,600","74,600","74,500","74,500","74,540.00","74,540.00","74,515.00","74,535.00","74,420.00","5,622","6,806.20","6,030.50","15,847.55","23,596.63","33,469.36"
"01/29,11:37","74,500","74,600","74,500","74,600","74,560.00","74,540.00","74,515.00","74,535.00","74,415.83","4,802","6,355.20","5,999.10","16,910.20","23,598.48","33,503.93"
"01/29,11:36","74,600","74,600","74,500","74,600","74,540.00","74,540.00","74,510.00","74,535.00","74,410.00","3,200","6,168.60","10,236.10","17,530.90","23,553.48","33,524.78"
"01/29,11:35","74,600","74,600","74,500","74,500","74,520.00","74,530.00","74,505.00","74,535.00","74,404.17","5,610","7,815.00","17,968.80","19,152.85","24,748.05","33,570.78"
"01/29,11:34","74,600","74,600","74,500","74,500","74,520.00","74,530.00","74,505.00","74,536.67","74,400.00","14,797","7,626.20","18,703.00","19,592.60","24,702.93","33,570.44"
"01/29,11:33","74,500","74,600","74,500","74,600","74,540.00","74,520.00","74,510.00","74,538.33","74,395.83","3,367","5,254.80","17,554.50","19,663.90","25,470.58","33,504.41"
"01/29,11:32","74,500","74,600","74,500","74,500","74,520.00","74,510.00","74,505.00","74,538.33","74,390.83","3,869","5,643.00","19,307.20","22,377.75","27,619.00","33,528.82"
"01/29,11:31","74,500","74,600","74,500","74,500","74,540.00","74,510.00","74,505.00","74,538.33","74,386.67","11,432","14,303.60","21,969.90","22,360.35","29,221.68","33,573.90"
"01/29,11:30","74,500","74,600","74,500","74,500","74,540.00","74,510.00","74,505.00","74,540.00","74,382.50","4,666","28,122.60","21,130.00","21,900.25","29,155.13","33,541.02"
"01/29,11:29","74,500","74,600","74,500","74,600","74,540.00","74,500.00","74,505.00","74,541.67","74,378.33","2,940","29,779.80","22,942.40","22,996.45","30,146.92","33,903.10"
"01/29,11:28","74,600","74,600","74,500","74,500","74,500.00","74,490.00","74,500.00","74,543.33","74,372.50","5,308","29,854.20","25,664.60","25,068.50","31,737.05","33,989.76"
"01/29,11:27","74,500","74,600","74,400","74,600","74,500.00","74,490.00","74,500.00","74,545.00","74,367.50","47,172","32,971.40","27,821.30","25,346.60","31,872.40","34,767.93"
"01/29,11:26","74,500","74,600","74,400","74,500","74,480.00","74,480.00","74,495.00","74,546.67","74,360.83","80,527","29,636.20","24,825.70","24,673.35","32,702.08","34,564.28"
"01/29,11:25","74,500","74,500","74,400","74,500","74,480.00","74,480.00","74,490.00","74,546.67","74,355.00","12,952","14,137.40","20,336.90","25,619.35","32,006.53","34,080.18"
"01/29,11:24","74,400","74,500","74,400","74,400","74,460.00","74,480.00","74,485.00","74,546.67","74,350.00","3,312","16,105.00","20,482.20","30,619.35","32,633.33","34,583.88"
"01/29,11:23","74,500","74,600","74,400","74,500","74,480.00","74,500.00","74,495.00","74,548.33","74,345.83","20,894","21,475.00","21,773.30","30,674.25","33,385.55","35,791.50"
"01/29,11:22","74,500","74,600","74,400","74,500","74,480.00","74,500.00","74,500.00","74,548.33","74,339.17","30,496","22,671.20","25,448.30","29,915.60","34,161.83","35,683.40"
"01/29,11:21","74,400","74,500","74,400","74,500","74,480.00","74,500.00","74,505.00","74,548.33","74,333.33","3,033","20,015.20","22,750.80","28,717.65","34,000.78","35,466.44"
"01/29,11:20","74,500","74,600","74,400","74,400","74,480.00","74,500.00","74,505.00","74,548.33","74,327.50","22,790","26,536.40","22,670.50","28,963.75","34,029.32","36,194.27"
"01/29,11:19","74,400","74,600","74,400","74,500","74,500.00","74,510.00","74,510.00","74,548.33","74,321.67","30,162","24,859.40","23,050.50","28,097.90","36,014.47","36,353.09"
"01/29,11:18","74,500","74,600","74,400","74,500","74,520.00","74,510.00","74,510.00","74,546.67","74,314.17","26,875","22,071.60","24,472.40","26,737.20","35,623.18","36,665.48"
"01/29,11:17","74,400","74,600","74,400","74,500","74,520.00","74,510.00","74,510.00","74,545.00","74,307.50","17,216","28,225.40","22,871.90","29,010.25","35,806.32","36,494.76"
"01/29,11:16","74,500","74,600","74,400","74,500","74,520.00","74,510.00","74,520.00","74,545.00","74,300.83","35,639","25,486.40","24,521.00","28,371.50","36,490.90","36,528.10"
"01/29,11:15","74,600","74,600","74,500","74,500","74,520.00","74,500.00","74,530.00","74,543.33","74,295.00","14,405","18,804.60","30,901.80","27,240.40","36,824.50","36,612.20"
"01/29,11:14","74,500","74,600","74,500","74,600","74,520.00","74,490.00","74,535.00","74,540.00","74,288.33","16,223","21,241.60","40,756.50","28,457.10","36,903.90","36,795.28"
"01/29,11:13","74,400","74,600","74,400","74,500","74,500.00","74,490.00","74,535.00","74,536.67","74,280.83","57,644","26,873.20","39,575.20","29,025.30","37,414.07","37,463.50"
"01/29,11:12","74,500","74,500","74,400","74,500","74,500.00","74,500.00","74,540.00","74,535.00","74,272.50","3,521","17,518.40","34,382.90","26,590.25","37,933.55","38,036.34"
"01/29,11:11","74,500","74,500","74,400","74,500","74,500.00","74,510.00","74,540.00","74,535.00","74,266.67","2,230","23,555.60","34,684.50","31,588.25","39,329.13","38,310.43"
"01/29,11:10","74,500","74,600","74,400","74,500","74,480.00","74,510.00","74,540.00","74,533.33","74,260.83","26,590","42,999.00","35,257.00","32,010.60","39,433.97","38,610.45"
"01/29,11:09","74,500","74,600","74,400","74,500","74,460.00","74,510.00","74,540.00","74,530.00","74,255.00","44,381","60,271.40","33,145.30","31,310.75","40,132.38","38,457.30"
"01/29,11:08","74,500","74,600","74,500","74,500","74,480.00","74,510.00","74,540.00","74,526.67","74,249.17","10,870","52,277.20","29,002.00","29,520.35","41,786.43","38,745.07"
"01/29,11:07","74,500","74,600","74,400","74,500","74,500.00","74,510.00","74,540.00","74,520.00","74,242.50","33,707","51,247.40","35,148.60","34,650.65","41,869.47","39,395.40"
"01/29,11:06","74,400","74,500","74,400","74,400","74,520.00","74,530.00","74,545.00","74,513.33","74,237.50","99,447","45,813.40","32,222.00","33,605.90","42,284.82","39,666.53"
"01/29,11:05","74,500","74,600","74,400","74,400","74,540.00","74,560.00","74,555.00","74,508.33","74,233.33","112,952","27,515.00","23,579.00","29,014.60","40,759.27","39,450.12"
"01/29,11:04","74,500","74,600","74,500","74,600","74,560.00","74,580.00","74,565.00","74,503.33","74,230.00","4,410","6,019.20","16,157.70","23,897.75","38,950.88","39,815.20"
"01/29,11:03","74,600","74,600","74,500","74,600","74,540.00","74,580.00","74,570.00","74,496.67","74,224.17","5,721","5,726.80","18,475.40","24,114.05","38,994.02","40,381.40"
"01/29,11:02","74,600","74,600","74,500","74,600","74,520.00","74,580.00","74,570.00","74,490.00","74,216.67","6,537","19,049.80","18,797.60","24,206.45","39,190.57","40,716.89"
"01/29,11:01","74,600","74,600","74,500","74,500","74,540.00","74,570.00","74,570.00","74,483.33","74,209.17","7,955","18,630.60","28,492.00","24,662.70","39,722.97","40,875.48"
"01/29,11:00","74,500","74,600","74,500","74,500","74,580.00","74,570.00","74,575.00","74,476.67","74,203.33","5,473","19,643.00","28,764.20","26,754.95","40,198.98","41,508.02"
"01/29,10:59","74,500","74,600","74,500","74,500","74,600.00","74,570.00","74,580.00","74,471.67","74,198.33","2,948","26,296.20","29,476.20","28,159.15","41,044.57","44,476.68"
"01/29,10:58","74,600","74,700","74,500","74,500","74,620.00","74,570.00","74,580.00","74,465.00","74,189.17","72,336","31,224.00","30,038.70","28,205.15","41,134.13","50,322.32"
"01/29,10:57","74,600","74,700","74,600","74,700","74,640.00","74,570.00","74,580.00","74,460.00","74,181.67","4,441","18,545.40","34,152.70","24,875.00","40,025.48","50,661.96"
"01/29,10:56","74,600","74,700","74,600","74,700","74,600.00","74,560.00","74,575.00","74,451.67","74,173.33","13,017","38,353.40","34,989.80","24,758.05","40,010.80","50,803.48"
"01/29,10:55","74,600","74,700","74,500","74,600","74,560.00","74,550.00","74,570.00","74,441.67","74,164.17","38,739","37,885.40","34,450.20","27,850.90","39,861.78","50,821.83"
"01/29,10:54","74,600","74,600","74,500","74,600","74,540.00","74,550.00","74,570.00","74,435.00","74,155.83","27,587","32,656.20","31,637.80","26,059.10","39,313.50","50,610.79"
